"","x"
"Barre, VT",1
"Farmington, NM",1
"Fort Dodge, IA",1
"Menomonie, WI",1
"Lewisburg, TN",1
"Riverton, WY",1
"Rock Springs, WY",1
"El Dorado, AR",1
"York-Hanover, PA",1
"Faribault-Northfield, MN",8
"Lake Charles, LA",1
"Snyder, TX",2
"Woodward, OK",1
"Washington, IN",1
"Jamestown-Dunkirk-Fredonia, NY",1
"Andrews, TX",2
"Lawrenceburg, TN",1
"Hastings, NE",8
"McAllen-Edinburg-Mission, TX",1
"Baton Rouge, LA",3
"Pittsburg, KS",3
"Midland, TX",2
"Marinette, WI-MI",8
"McPherson, KS",8
"Abilene, TX",2
"Atchison, KS",8
"Laurel, MS",5
"Kirksville, MO",3
"Bellefontaine, OH",6
"Goldsboro, NC",1
"Effingham, IL",8
"Muscatine, IA",1
"Bozeman, MT",3
"St. Joseph, MO-KS",2
"Paragould, AR",1
"Lebanon, PA",1
"Enid, OK",2
"Red Wing, MN",8
"Williston, ND",2
"Emporia, KS",3
"Medford, OR",3
"Logan, WV",5
"Beatrice, NE",2
"Mount Sterling, KY",5
"Madison, IN",6
"Lawrence, KS",3
"Jamestown, ND",8
"Janesville-Beloit, WI",8
"Evanston, WY",5
"Tupelo, MS",5
"Greenville, OH",6
"Blytheville, AR",5
"Forrest City, AR",5
"Fernley, NV",9
"Merrill, WI",8
"Las Vegas-Henderson-Paradise, NV",2
"Longview, TX",5
"Easton, MD",1
"Bay City, TX",9
"Levelland, TX",2
"East Stroudsburg, PA",1
"Columbus, MS",5
"Mansfield, OH",6
"Truckee-Grass Valley, CA",1
"Amsterdam, NY",6
"Cambridge, OH",6
"Calhoun, GA",5
"St. George, UT",9
"Dickinson, ND",2
"Mitchell, SD",8
"North Wilkesboro, NC",5
"Aberdeen, SD",8
"Coshocton, OH",6
"Dalton, GA",5
"Elkins, WV",5
"Magnolia, AR",5
"Eugene, OR",3
"Gaffney, SC",5
"Mason City, IA",8
"Newton, IA",8
"Decatur, IL",7
"Shreveport-Bossier City, LA",5
"Laramie, WY",3
"Moses Lake, WA",9
"Elk City, OK",2
"Gulfport-Biloxi-Pascagoula, MS",5
"Morgan City, LA",5
"Richmond, IN",6
"Midland, MI",6
"Mount Pleasant, TX",6
"Platteville, WI",8
"Carlsbad-Artesia, NM",2
"Cheyenne, WY",9
"Sulphur Springs, TX",9
"Albert Lea, MN",8
"Great Bend, KS",8
"Scottsboro, AL",5
"Huntington, IN",6
"Elko, NV",9
"Carbondale-Marion, IL",5
"Michigan City-La Porte, IN",6
"Brookhaven, MS",5
"Elkhart-Goshen, IN",6
"Hobbs, NM",2
"Ludington, MI",6
"Ponca City, OK",2
"Decatur, AL",6
"Plainview, TX",2
"Dodge City, KS",2
"Victoria, TX",9
"Peoria, IL",7
"Corsica, TX",5
"Beeville, TX",9
"Defiance, OH",6
"Grants, NM",2
"Wabash, IN",6
"The Villages, FL",9
"tchitoches, LA",1
"Bradford, PA",9
"Wausau, WI",8
"Longview, WA",9
"Garden City, KS",2
"Troy, AL",5
"Hays, KS",3
"Angola, IN",6
"Summerville, GA",5
"Iowa City, IA",3
"Glens Falls, NY",6
"Clinton, IA",7
"Wahpeton, ND-MN",8
"Selma, AL",1
"Somerset, KY",5
"Mountain Home, ID",9
"Pierre, SD",2
"DeRidder, LA",5
"Lexington, NE",1
"Corpus Christi, TX",2
"Clarksburg, WV",6
"Brookings, SD",3
"Watertown, SD",8
"Greenfield Town, MA",6
"Marshalltown, IA",6
"Kearney, NE",8
"Newberry, SC",5
"Liberal, KS",2
"Jefferson, GA",9
"Columbus, NE",8
"Bainbridge, GA",5
"Madisonville, KY",6
"Ocala, FL",9
"New Orleans-Metairie, LA",5
"Cedar Rapids, IA",8
"Evansville, IN-KY",7
"Hannibal, MO",6
"Sheridan, WY",9
"Brownwood, TX",9
"Burley, ID",9
"Fort Madison-Keokuk, IA-IL-MO",6
"Fergus Falls, MN",8
"Athens, TN",5
"Fort Morgan, CO",2
"Frankfort, IN",6
"Ottawa, KS",6
"Florence-Muscle Shoals, AL",5
"Grand Island, NE",8
"Middlesborough, KY",5
"Springfield, IL",5
"Ottawa-Peru, IL",8
"Wichita, KS",9
"Kingsville, TX",1
"Cape Girardeau, MO-IL",5
"New Castle, IN",6
"Mineral Wells, TX",9
"Fayetteville-Springdale-Rogers, AR-MO",5
"Paducah, KY-IL",5
"Quincy, IL-MO",6
"Weirton-Steubenville, WV-OH",7
"Lawton, OK",2
"Fremont, OH",6
"Owaton, MN",8
"Columbus, IN",6
"Wilson, NC",5
"Claremont-Lebanon, NH-VT",3
"Dublin, GA",5
"Port Clinton, OH",6
"Burlington, IA-IL",6
"Orangeburg, SC",5
"Storm Lake, IA",8
"Bay City, MI",6
"Meadville, PA",10
"Deming, NM",2
"Ellensburg, WA",9
"Wichita Falls, TX",9
"Bloomington, IN",3
"Malvern, AR",5
"Tulsa, OK",7
"Ada, OK",9
"Texarka, TX-AR",5
"Payson, AZ",2
"Bennettsville, SC",1
"Astoria, OR",9
"Canton-Massillon, OH",7
"Albany, OR",9
"Joplin, MO",6
"Warsaw, IN",6
"Ruston, LA",3
"Bartlesville, OK",9
"Summit Park, UT",3
"Big Rapids, MI",6
"Mobile, AL",9
"Pampa, TX",2
"Cullman, AL",10
"Terre Haute, IN",7
"Gloversville, NY",10
"Rochelle, IL",6
"Coffeyville, KS",5
"Arkadelphia, AR",5
"Beckley, WV",5
"Charleston, WV",5
"Baraboo, WI",8
"Amarillo, TX",2
"Durango, CO",9
"Clarksville, TN-KY",9
"Fallon, NV",9
"McAlester, OK",9
"Van Wert, OH",6
"Sandusky, OH",6
"Dayton, OH",7
"Campbellsville, KY",5
"Minot, ND",8
"Bowling Green, KY",9
"Stevens Point, WI",8
"Indiapolis-Carmel-Anderson, IN",7
"Manitowoc, WI",8
"Plymouth, IN",6
"Lincoln, IL",9
"Mexico, MO",6
"Fairfield, IA",6
"Columbia, SC",9
"Cordele, GA",5
"Topeka, KS",6
"Glenwood Springs, CO",3
"Lebanon, MO",9
"Champaign-Urba, IL",3
"Thomaston, GA",5
"El Campo, TX",9
"Macon-Bibb County, GA",5
"Monroe, LA",5
"Bucyrus, OH",6
"Athens, TX",5
"Toledo, OH",7
"Harrisonburg, VA",6
"Lewiston, ID-WA",10
"Frankfort, KY",6
"Wapakoneta, OH",6
"Watertown-Fort Atkinson, WI",8
"Bloomsburg-Berwick, PA",10
"Huron, SD",2
"Zapata, TX",1
"Gettysburg, PA",10
"McComb, MS",5
"Talladega-Sylacauga, AL",5
"Edwards, CO",3
"Kokomo, IN",7
"Sheboygan, WI",1
"Chattanooga, TN-GA",7
"Othello, WA",1
"Marion, IN",6
"Willmar, MN",8
"Roswell, NM",2
"Marshall, MN",8
"LaGrange, GA",5
"Miami, OK",6
"DuBois, PA",10
"Duncan, OK",9
"Rapid City, SD",2
"Bakersfield, CA",4
"Austin, MN",8
"Fort Wayne, IN",7
"Marshall, MO",6
"Brainerd, MN",10
"Muskogee, OK",5
"Brownsville-Harlingen, TX",1
"Pontiac, IL",6
"Lexington-Fayette, KY",3
"Jasper, IN",6
"Spirit Lake, IA",8
"Fremont, NE",8
"Parkersburg-Vien, WV",6
"Owensboro, KY",7
"Trenton, NJ",7
"Valley, AL",5
"Tuscaloosa, AL",5
"Sedalia, MO",9
"Athens-Clarke County, GA",3
"Bardstown, KY",5
"Sikeston, MO",5
"Tullahoma-Manchester, TN",5
"Zanesville, OH",6
"Chambersburg-Waynesboro, PA",10
"Houston-The Woodlands-Sugar Land, TX",7
"Palestine, TX",5
"Davenport-Moline-Rock Island, IA-IL",7
"Martinsville, VA",5
"Logansport, IN",6
"Yankton, SD",9
"Elizabethtown-Fort Knox, KY",9
"Oneonta, NY",10
"Opelousas, LA",5
"Fort Smith, AR-OK",5
"Hutchinson, KS",8
"Glasgow, KY",5
"New Philadelphia-Dover, OH",6
"South Bend-Mishawaka, IN-MI",7
"Silver City, NM",1
"tchez, MS-LA",5
"Richmond-Berea, KY",5
"Knoxville, TN",7
"Canton, IL",6
"Lock Haven, PA",10
"Des Moines-West Des Moines, IA",8
"St. Louis, MO-IL",7
"Charleston-Mattoon, IL",6
"Jacksonville, IL",6
"Oklahoma City, OK",2
"Shawano, WI",10
"Norfolk, NE",8
"Iron Mountain, MI-WI",10
"Vincennes, IN",6
"Omaha-Council Bluffs, NE-IA",7
"Craig, CO",9
"Sterling, IL",8
"Odessa, TX",2
"Rocky Mount, NC",5
"Ashtabula, OH",6
"Grand Forks, ND-MN",8
"Ardmore, OK",9
"Price, UT",9
"Ontario, OR-ID",9
"Decatur, IN",6
"Lubbock, TX",2
"Bismarck, ND",2
"Paris, TN",5
"Huntington-Ashland, WV-KY-OH",7
"Wisconsin Rapids-Marshfield, WI",8
"Tifton, GA",5
"Durant, OK",9
"Newport, TN",1
"Morristown, TN",5
"Cookeville, TN",5
"Gallup, NM",1
"Cleveland-Elyria, OH",7
"New Castle, PA",7
"Springfield, OH",6
"Malone, NY",10
"Vermillion, SD",3
"Wheeling, WV-OH",7
"San Angelo, TX",1
"Steamboat Springs, CO",3
"Wino, MN",8
"Montgomery, AL",5
"Jackson, MS",7
"Sali, KS",9
"Jefferson City, MO",6
"Bloomington, IL",3
"Danville, VA",5
"Albertville, AL",5
"Tyler, TX",5
"Dubuque, IA",8
"London, KY",5
"Birmingham-Hoover, AL",7
"Fort Leord Wood, MO",9
"Kendallville, IN",6
"North Platte, NE",9
"Kankakee, IL",6
"Fairmont, WV",6
"Salem, OR",10
"Johnson City, TN",10
"Blacksburg-Christiansburg-Radford, VA",5
"Rolla, MO",5
"Casper, WY",9
"Cornelia, GA",10
"Tiffin, OH",6
"Greenwood, SC",5
"Las Vegas, NM",2
"Spartanburg, SC",10
"Shelton, WA",9
"Celi, OH",6
"Cleveland, TN",5
"Flagstaff, AZ",9
"Memphis, TN-MS-AR",5
"Mankato-North Mankato, MN",8
"Waco, TX",9
"Plattsburgh, NY",10
"Louisville/Jefferson County, KY-IN",7
"Gillette, WY",2
"Indianola, MS",1
"Augusta-Richmond County, GA-SC",10
"Mount Vernon-Acortes, WA",9
"St. Cloud, MN",8
"Greeley, CO",9
"Springfield, MO",5
"Duluth, MN-WI",10
"Ottumwa, IA",6
"Shawnee, OK",9
"Fond du Lac, WI",8
"Thomasville, GA",5
"Butte-Silver Bow, MT",9
"Florence, SC",5
"Norwalk, OH",6
"Ames, IA",3
"Sturgis, MI",6
"Huntsville, AL",5
"Verl, UT",9
"Waterloo-Cedar Falls, IA",7
"Madison, WI",3
"Dyersburg, TN",5
"Whitewater-Elkhorn, WI",8
"Douglas, GA",5
"Marion, NC",5
"shville-Davidson--Murfreesboro--Franklin, TN",7
"Anniston-Oxford-Jacksonville, AL",5
"Gadsden, AL",5
"Oil City, PA",10
"Hood River, OR",9
"Danville, KY",5
"Borger, TX",2
"Arkansas City-Winfield, KS",9
"Hattiesburg, MS",5
"Stillwater, OK",3
"Savanh, GA",9
"Danville, IL",6
"Marshall, TX",5
"Kansas City, MO-KS",7
"Alice, TX",2
"Stephenville, TX",9
"The Dalles, OR",10
"Corinth, MS",5
"Batesville, AR",5
"Scottsbluff, NE",9
"Galesburg, IL",6
"Lewisburg, PA",9
"Macomb, IL",6
"Warren, PA",10
"Greenwood, MS",5
"Eau Claire, WI",8
"Parsons, KS",5
"Laurinburg, NC",5
"Ashland, OH",6
"Guymon, OK",2
"Lake City, FL",5
"Jacksonville, TX",5
"Sioux Falls, SD",8
"Lafayette-West Lafayette, IN",3
"Union City, TN-KY",6
"Bedford, IN",6
"Little Rock-North Little Rock-Conway, AR",7
"Marietta, OH",6
"Rockingham, NC",5
"St. Marys, GA",9
"Batavia, NY",6
"Sagiw, MI",7
"Muncie, IN",6
"Daphne-Fairhope-Foley, AL",9
"Sierra Vista-Douglas, AZ",2
"Palatka, FL",5
"Olympia-Tumwater, WA",9
"Columbus, OH",7
"Hagerstown-Martinsburg, MD-WV",10
"Alpe, MI",6
"Hutchinson, MN",8
"Clarksdale, MS",1
"Brunswick, GA",10
"Richmond, VA",10
"Houma-Thibodaux, LA",5
"Dothan, AL",9
"Holland, MI",6
"Big Stone Gap, VA",5
"Alexandria, LA",5
"Beaver Dam, WI",8
"Marion, OH",6
"Cleveland, MS",1
"Urba, OH",6
"Georgetown, SC",9
"Selinsgrove, PA",10
"Seneca, SC",10
"Seymour, IN",6
"Roanoke Rapids, NC",5
"Lake Havasu City-Kingman, AZ",9
"Winnemucca, NV",9
"Blackfoot, ID",10
"Twin Falls, ID",10
"Alamogordo, NM",2
"Sidney, OH",6
"West Plains, MO",5
"Pine Bluff, AR",5
"Prescott, AZ",9
"Bluefield, WV-VA",5
"cogdoches, TX",5
"Corvallis, OR",3
"Sherman-Denison, TX",9
"Branson, MO",9
"Oskaloosa, IA",8
"Hermiston-Pendleton, OR",10
"Spearfish, SD",2
"Green Bay, WI",10
"Vicksburg, MS",5
"Point Pleasant, WV-OH",6
"Poplar Bluff, MO",5
"Clovis, NM",2
"Milledgeville, GA",5
"Russellville, AR",10
"Cincinti, OH-KY-IN",7
"Cadillac, MI",6
"Pittsburgh, PA",7
"Cullowhee, NC",5
"Moberly, MO",6
"Peru, IN",6
"Port Lavaca, TX",9
"Winston-Salem, NC",10
"Akron, OH",7
"Appleton, WI",8
"Dallas-Fort Worth-Arlington, TX",7
"North Vernon, IN",6
"Burlington, NC",10
"Pensacola-Ferry Pass-Brent, FL",9
"Huntsville, TX",5
"Columbus, GA-AL",9
"Lakeland-Winter Haven, FL",9
"Roanoke, VA",10
"Charlottesville, VA",3
"Cumberland, MD-WV",10
"San Antonio-New Braunfels, TX",2
"Detroit-Warren-Dearborn, MI",7
"Camden, AR",5
"Marquette, MI",10
"Shelby, NC",5
"Lufkin, TX",5
"Traverse City, MI",6
"Sumter, SC",9
"Altus, OK",2
"Kennett, MO",5
"Kerrville, TX",9
"McMinnville, TN",5
"Crossville, TN",10
"College Station-Bryan, TX",3
"La Grande, OR",9
"Staunton-Waynesboro, VA",10
"Uvalde, TX",2
"Valdosta, GA",10
"Kalamazoo-Portage, MI",6
"Wooster, OH",6
"Maysville, KY",6
"Rome, GA",10
"Hammond, LA",5
"Jesup, GA",5
"Meridian, MS",5
"Youngstown-Warren-Boardman, OH-PA",7
"Idaho Falls, ID",10
"Klamath Falls, OR",4
"Pueblo, CO",2
"Charleston-North Charleston, SC",9
"Portales, NM",2
"Merced, CA",4
"Chicago-perville-Elgin, IL-IN-WI",7
"Santa Fe, NM",2
"Statesboro, GA",3
"La Crosse-Olaska, WI-MN",8
"Lincoln, NE",8
"Oxford, NC",5
"Monroe, MI",6
"Greensboro-High Point, NC",10
"Pottsville, PA",10
"Greenville, MS",1
"Columbia, MO",3
"Coldwater, MI",6
"Morgantown, WV",10
"Pahrump, NV",9
"Lansing-East Lansing, MI",6
"Warrensburg, MO",9
"Winchester, VA-WV",10
"Ionia, MI",6
"Denver-Aurora-Lakewood, CO",4
"Farmington, MO",9
"Alexandria, MN",8
"Maryville, MO",9
"Boone, IA",8
"Mount Airy, NC",5
"Lumberton, NC",5
"Roseburg, OR",4
"Hailey, ID",9
"Fitzgerald, GA",1
"Shelbyville, TN",5
"Berlin, NH-VT",10
"Weatherford, OK",2
"Rochester, MN",8
"Sterling, CO",9
"Minneapolis-St. Paul-Bloomington, MN-WI",7
"Grand Rapids-Wyoming, MI",6
"Mayfield, KY",6
"Toccoa, GA",5
"Muskegon, MI",6
"Rockford, IL",6
"Sevierville, TN",10
"Espa̱ola, NM",2
"Fargo, ND-MN",8
"Ann Arbor, MI",6
"Greenville-Anderson-Mauldin, SC",10
"Corning, NY",10
"Lafayette, LA",5
"Altoo, PA",10
"Austin-Round Rock, TX",9
"Watertown-Fort Drum, NY",10
"Bemidji, MN",6
"Big Spring, TX",2
"Sioux City, IA-NE-SD",8
"Jackson, WY-ID",3
"Waycross, GA",5
"Chillicothe, OH",6
"Milwaukee-Waukesha-West Allis, WI",7
"Walla Walla, WA",9
"Gardnerville Ranchos, NV",9
"Asheville, NC",10
"Ocean City, NJ",4
"Gainesville, GA",10
"Racine, WI",6
"Beaumont-Port Arthur, TX",5
"Seneca Falls, NY",4
"Somerset, PA",10
"Enterprise, AL",9
"Cedar City, UT",10
"Vidalia, GA",5
"Dayton, TN",5
"Kalispell, MT",9
"Billings, MT",9
"Martin, TN",6
"Paris, TX",5
"Battle Creek, MI",6
"Bastrop, LA",5
"Alma, MI",6
"State College, PA",3
"Heber, UT",10
"Greeneville, TN",10
"Hot Springs, AR",5
"Atlantic City-Hammonton, NJ",4
"Williamsport, PA",10
"Jonesboro, AR",9
"Oxford, MS",3
"India, PA",10
"Flint, MI",6
"Houghton, MI",3
"Red Bluff, CA",4
"Owosso, MI",6
"Sanford, NC",9
"Bogalusa, LA",5
"Newport, OR",10
"Show Low, AZ",1
"Gainesville, FL",3
"Albuquerque, NM",2
"Murray, KY",3
"Utica-Rome, NY",10
"El Paso, TX",2
"Connersville, IN",6
"Salisbury, MD-DE",4
"Jacksonville, FL",9
"Adrian, MI",6
"Pama City, FL",9
"Grand Junction, CO",10
"Henderson, NC",5
"Hickory-Lenoir-Morganton, NC",10
"Salem, OH",6
"Starkville, MS",3
"Jackson, MI",6
"Atlanta-Sandy Springs-Roswell, GA",7
"Picayune, MS",5
"Hilton Head Island-Bluffton-Beaufort, SC",9
"Harrisburg-Carlisle, PA",10
"Escaba, MI",10
"Sayre, PA",10
"Sandpoint, ID",4
"Fort Collins, CO",3
"Rexburg, ID",3
"Warner Robins, GA",10
"Junction City, KS",9
"Searcy, AR",1
"Ca̱on City, CO",9
"Harrison, AR",9
"Sebastian-Vero Beach, FL",4
"New Ulm, MN",8
"Auburn-Opelika, AL",5
"Reno, NV",4
"Portsmouth, OH",6
"Reading, PA",10
"Ozark, AL",9
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",9
"Crestview-Fort Walton Beach-Destin, FL",9
"Niles-Benton Harbor, MI",7
"Hele-West Hele, AR",1
"Scranton--Wilkes-Barre--Hazleton, PA",10
"Boulder, CO",3
"Allentown-Bethlehem-Easton, PA-NJ",10
"Charlotte-Concord-Gastonia, NC-SC",10
"Spokane-Spokane Valley, WA",10
"El Centro, CA",4
"Nogales, AZ",1
"Americus, GA",5
"Mount Pleasant, MI",6
"Barnstable Town, MA",4
"Delto-Dayto Beach-Ormond Beach, FL",9
"Killeen-Temple, TX",9
"Coeur d'Alene, ID",9
"Moultrie, GA",1
"Sault Ste. Marie, MI",10
"Wetchee, WA",10
"Hele, MT",9
"Port St. Lucie, FL",9
"Auburn, IN",6
"Washington Court House, OH",6
"Lancaster, PA",10
"Phoenix-Mesa-Scottsdale, AZ",4
"Taos, NM",2
"Okeechobee, FL",9
"Kill Devil Hills, NC",9
"Clewiston, FL",4
"Fort Polk South, LA",9
"Missoula, MT",3
"Wauchula, FL",4
"Prineville, OR",9
"Kingsport-Bristol-Bristol, TN-VA",10
"Logan, UT-ID",10
"Cambridge, MD",4
"Orlando-Kissimmee-Sanford, FL",9
"Aberdeen, WA",9
"Hillsdale, MI",6
"Hanford-Corcoran, CA",4
"Montrose, CO",10
"Greenville, NC",9
"Albany, GA",5
"Dover, DE",4
"Virginia Beach-Norfolk-Newport News, VA-NC",10
"Washington-Arlington-Alexandria, DC-VA-MD-WV",4
"Salt Lake City, UT",10
"Erie, PA",7
"Laredo, TX",1
"North Port-Sarasota-Bradenton, FL",9
"Hinesville, GA",9
"Palm Bay-Melbourne-Titusville, FL",9
"Wilmington, NC",9
"Tallahassee, FL",9
"Centralia, WA",9
"Colorado Springs, CO",10
"Mount Vernon, IL",5
"Cedartown, GA",5
"Sunbury, PA",10
"Kinston, NC",9
"Susanville, CA",9
"Pittsfield, MA",10
"Great Falls, MT",9
"Baltimore-Columbia-Towson, MD",7
"Forest City, NC",5
"Burlington-South Burlington, VT",3
"Oshkosh-Neeh, WI",8
"Rochester, NY",10
"Safford, AZ",1
"Lima, OH",6
"Bend-Redmond, OR",9
"Concord, NH",10
"Cape Coral-Fort Myers, FL",4
"Centralia, IL",6
"Pocatello, ID",10
"Ogden-Clearfield, UT",10
"Raleigh, NC",3
"Athens, OH",3
"Providence-Warwick, RI-MA",10
"Boise City, ID",10
"Eagle Pass, TX",1
"Vineland-Bridgeton, NJ",4
"Durham-Chapel Hill, NC",3
"Albemarle, NC",9
"Vallejo-Fairfield, CA",4
"Bellingham, WA",10
"Yakima, WA",4
"Tahlequah, OK",5
"Miami-Fort Lauderdale-West Palm Beach, FL",4
"Bangor, ME",5
"ples-Immokalee-Marco Island, FL",4
"New Bern, NC",9
"Fayetteville, NC",9
"Portland-Vancouver-Hillsboro, OR-WA",10
"Ukiah, CA",4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7
"Pinehurst-Southern Pines, NC",9
"Arcadia, FL",2
"Albany-Schenectady-Troy, NY",10
"Brevard, NC",10
"Punta Gorda, FL",9
"Elizabeth City, NC",5
"Tampa-St. Petersburg-Clearwater, FL",4
"Provo-Orem, UT",10
"Washington, NC",9
"Mountain Home, AR",9
"Cortland, NY",10
"Augusta-Waterville, ME",10
"Manhattan, KS",3
"Johnstown, PA",10
"Grants Pass, OR",4
"Olean, NY",10
"Redding, CA",4
"Yuma, AZ",4
"Visalia-Porterville, CA",4
"Portland-South Portland, ME",10
"Los Alamos, NM",1
"Worcester, MA-CT",10
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",4
"Jackson, TN",5
"Jackson, OH",6
"Rio Grande City, TX",1
"Sebring, FL",9
"Madera, CA",4
"Bennington, VT",10
"Norwich-New London, CT",10
"Brookings, OR",4
"Del Rio, TX",2
"Tucson, AZ",2
"Coos Bay, OR",4
"Hartford-West Hartford-East Hartford, CT",10
"Elmira, NY",10
"Carson City, NV",9
"Findlay, OH",6
"Kennewick-Richland, WA",10
"Laconia, NH",10
"Port Angeles, WA",9
"Morehead City, NC",9
"Syracuse, NY",10
"New Haven-Milford, CT",4
"Boston-Cambridge-Newton, MA-NH",7
"Riverside-San Berrdino-Ontario, CA",4
"Bridgeport-Stamford-Norwalk, CT",4
"Pullman, WA",3
"pa, CA",4
"Modesto, CA",4
"Homosassa Springs, FL",9
"Stockton-Lodi, CA",4
"Springfield, MA",10
"Oxrd-Thousand Oaks-Ventura, CA",4
"Seattle-Tacoma-Bellevue, WA",10
"San Francisco-Oakland-Hayward, CA",4
"Clearlake, CA",4
"Kingston, NY",10
"Crescent City, CA",4
"Binghamton, NY",10
"Auburn, NY",10
"Torrington, CT",10
"Hudson, NY",10
"Santa Rosa, CA",4
"Manchester-shua, NH",10
"Eureka-Arcata-Fortu, CA",4
"Los Angeles-Long Beach-Aheim, CA",4
"Moscow, ID",3
"Santa Maria-Santa Barbara, CA",4
"San Jose-Sunnyvale-Santa Clara, CA",4
"Fresno, CA",4
"Lewiston-Auburn, ME",10
"Chico, CA",4
"Salis, CA",4
"Sacramento--Roseville--Arden-Arcade, CA",4
"California-Lexington Park, MD",10
"Dunn, NC",9
"Keene, NH",10
"Sonora, CA",4
"Buffalo-Cheektowaga-Niagara Falls, NY",7
"Huntingdon, PA",10
"San Diego-Carlsbad, CA",4
"Yuba City, CA",4
"Wilmington, OH",6
"New York-Newark-Jersey City, NY-NJ-PA",4
"Bremerton-Silverdale, WA",9
"Boone, NC",3
"Mount Vernon, OH",6
"Spencer, IA",8
"Rutland, VT",10
"Ogdensburg-Masse, NY",10
"Santa Cruz-Watsonville, CA",4
"Oak Harbor, WA",9
"Jacksonville, NC",9
"Ithaca, NY",3
